,Nombre,Precio,Variacion,Maxima,Minima,Fecha
IBERDROLA,"9,7200","0,04","9,7720","9,6600",2021-10-25 07:43:25.667622
INDITEX,"30,9900","0,75","31,0200","30,8200",2021-10-25 07:43:25.668619
INDRA A,"9,6450","1,31","9,6600","9,5100",2021-10-25 07:43:25.670617
INM.COLONIAL,"8,3000","-0,18","8,4700","8,2600",2021-10-25 07:43:25.672616
MAPFRE,"1,8355","1,27","1,8360","1,8080",2021-10-25 07:43:25.673615
MELIA HOTELS,"6,2220","-1,89","6,3000","6,1220",2021-10-25 07:43:25.675615
MERLIN,"9,3860","0,39","9,3980","9,3000",2021-10-25 07:43:25.676614
NATURGY,"22,0500","0,09","22,1000","21,9500",2021-10-25 07:43:25.678623
PHARMA MAR,"70,0400","-1,38","71,0000","69,7000",2021-10-25 07:43:25.679614
R.E.C.,"17,7150","0,45","17,7700","17,6700",2021-10-25 07:43:25.681611
REPSOL,"11,6100","1,26","11,6120","11,4240",2021-10-25 07:43:25.683613
SIEMENS GAME,"21,4500","-2,14","22,1000","21,3800",2021-10-25 07:43:25.685609
SOLARIA,"16,2000","-4,48","16,9550","16,1350",2021-10-25 07:43:25.687609
TELEFONICA,"3,8175","1,22","3,8175","3,7430",2021-10-25 07:43:25.689606
VISCOFAN,"56,0500","0,18","56,3000","55,8000",2021-10-25 07:43:25.690609
,,,,,2021-10-26 10:20:29.708723
ACCIONA,"161,3000","-0,80","164,1000","160,6000",2021-10-26 10:20:29.713726
ACERINOX,"11,9750","1,44","12,0800","11,8150",2021-10-26 10:20:29.716721
ACS,"23,0200","0,96","23,1800","22,8800",2021-10-26 10:20:29.718717
AENA,"141,8500","1,61","142,7500","138,6500",2021-10-26 10:20:29.721715
ALMIRALL,"12,8000","-0,08","13,0000","12,7600",2021-10-26 10:20:29.723714
AMADEUS,"56,8400","3,12","57,3000","54,7000",2021-10-26 10:20:29.728713
ARCELORMIT.,"28,8600","1,62","29,0600","28,5550",2021-10-26 10:20:29.730710
B.SANTANDER,"3,3480","0,89","3,3690","3,3105",2021-10-26 10:20:29.731712
BA.SABADELL,"0,6684","-0,54","0,6754","0,6604",2021-10-26 10:20:29.733710
BANKINTER,"4,7300","-0,53","4,7980","4,7140",2021-10-26 10:20:29.735707
BBVA,"5,6580","-0,75","5,7350","5,6110",2021-10-26 10:20:29.739713
CAIXABANK,"2,5960","-0,35","2,6210","2,5850",2021-10-26 10:20:29.742704
CELLNEX,"54,0000","0,04","54,8600","53,7000",2021-10-26 10:20:29.743703
CIE AUTOMOT.,"23,1000","1,49","23,1800","22,8000",2021-10-26 10:20:29.745704
ENAGAS,"19,3000","-0,80","19,4200","18,9100",2021-10-26 10:20:29.746703
ENDESA,"19,3500","1,76","19,4450","19,0200",2021-10-26 10:20:29.748702
FERROVIAL,"27,2700","0,44","27,5900","26,9500",2021-10-26 10:20:29.751698
FLUIDRA,"36,8000","-0,54","37,4000","36,7500",2021-10-26 10:20:29.753698
GRIFOLS CL.A,"20,4100","-0,15","20,6000","20,2200",2021-10-26 10:20:29.755698
IAG,"1,9210","3,45","1,9520","1,8550",2021-10-26 10:20:29.757695
IBERDROLA,"9,8440","2,01","9,8760","9,6800",2021-10-26 10:20:29.759693
INDITEX,"31,0000","0,94","31,1800","30,6900",2021-10-26 10:20:29.767691
INDRA A,"9,5600","-0,42","9,6700","9,5550",2021-10-26 10:20:29.769690
INM.COLONIAL,"8,3800","1,58","8,4850","8,1750",2021-10-26 10:20:29.770689
MAPFRE,"1,8275","-0,87","1,8570","1,8275",2021-10-26 10:20:29.772730
MELIA HOTELS,"6,3900","2,31","6,4780","6,2500",2021-10-26 10:20:29.772730
MERLIN,"9,3720","0,90","9,4400","9,1420",2021-10-26 10:20:29.772730
NATURGY,"22,1900","1,14","22,2600","21,9100",2021-10-26 10:20:29.772730
PHARMA MAR,"70,2000","-0,14","70,8000","69,6400",2021-10-26 10:20:29.772730
R.E.C.,"17,5800","-0,62","17,7500","17,5750",2021-10-26 10:20:29.772730
REPSOL,"11,6400","-0,33","11,7100","11,4680",2021-10-26 10:20:29.772730
SIEMENS GAME,"22,3600","2,99","22,5400","21,7600",2021-10-26 10:20:29.772730
SOLARIA,"16,6500","2,56","16,8000","16,3000",2021-10-26 10:20:29.772730
TELEFONICA,"3,7740","-1,27","3,8055","3,7465",2021-10-26 10:20:29.772730
VISCOFAN,"55,8500","1,18","56,1500","55,4000",2021-10-26 10:20:29.772730
